"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"987","~year2 + sex","~year2 * season2 + sex","~year2 * season2 + sex","Phi(~year2 + sex)p(~year2 * season2 + sex)f(~year2 * season2 + sex)",57,17684.4669489051,244.764210248122,0,794.29051
"761","~year2 + season2 + sex","~year2 * season2 + sex","~season2","Phi(~year2 + season2 + sex)p(~year2 * season2 + sex)f(~season2)",38,17690.8712806169,251.168541959887,0,839.81029
"389","~sex","~season2","~year2 * season2","Phi(~sex)p(~season2)f(~year2 * season2)",25,17691.3425662651,251.639827608076,0,866.7861
"543","~year2","~year2 * season2 + sex","~year2 * season2 + sex","Phi(~year2)p(~year2 * season2 + sex)f(~year2 * season2 + sex)",56,17691.9120155062,252.209276849248,0,803.80591
"402","~sex","~season2 + sex","~year2 * season2","Phi(~sex)p(~season2 + sex)f(~year2 * season2)",26,17692.4800189816,252.777280324637,0,865.89228
"941","~year2 + sex","~time","~year2 * season2 + sex","Phi(~year2 + sex)p(~time)f(~year2 * season2 + sex)",56,17693.0590155062,253.356276849245,0,804.95246
"974","~year2 + sex","~year2 * season2","~year2 * season2 + sex","Phi(~year2 + sex)p(~year2 * season2)f(~year2 * season2 + sex)",56,17693.6070155062,253.904276849247,0,805.5008
"1059","~year2 * sex","~time + sex","~year2 + season2 + sex","Phi(~year2 * sex)p(~time + sex)f(~year2 + season2 + sex)",58,17694.2941417706,254.591403113624,0,802.04708
"25","~1","~season2","~year2 * season2 + sex","Phi(~1)p(~season2)f(~year2 * season2 + sex)",25,17696.7585662651,257.055827608074,0,872.20216
"1102","~year2 * sex","~year2 * season2 + sex","~year2 * season2 + sex","Phi(~year2 * sex)p(~year2 * season2 + sex)f(~year2 * season2 + sex)",67,17697.2347437462,257.532005089201,0,786.2904
"38","~1","~season2 + sex","~year2 * season2 + sex","Phi(~1)p(~season2 + sex)f(~year2 * season2 + sex)",26,17697.4470189816,257.744280324638,0,870.8586
"517","~year2","~time + sex","~year2 * season2 + sex","Phi(~year2)p(~time + sex)f(~year2 * season2 + sex)",56,17697.8130155062,258.110276849246,0,809.70717
"907","~year2 + sex","~season2 + sex","~season2 + sex","Phi(~year2 + sex)p(~season2 + sex)f(~season2 + sex)",18,17698.0775906222,258.374851965196,0,887.70656
"940","~year2 + sex","~time","~year2 * season2","Phi(~year2 + sex)p(~time)f(~year2 * season2)",55,17699.9423404255,260.239601768546,0,813.90518
"1089","~year2 * sex","~year2 * season2","~year2 * season2","Phi(~year2 * sex)p(~year2 * season2)f(~year2 * season2)",65,17700.0698536585,260.367115001551,0,793.28928
"1098","~year2 * sex","~year2 * season2 + sex","~year2 + season2 + sex","Phi(~year2 * sex)p(~year2 * season2 + sex)f(~year2 + season2 + sex)",58,17701.8611417706,262.158403113623,0,809.61424
"516","~year2","~time + sex","~year2 * season2","Phi(~year2)p(~time + sex)f(~year2 * season2)",55,17702.3413404255,262.638601768547,0,816.30359
"530","~year2","~year2 * season2","~year2 + season2 * sex","Phi(~year2)p(~year2 * season2)f(~year2 + season2 * sex)",47,17702.4921018799,262.789363222942,0,832.95883
